ryo_(tg290),ime_gg,"['ime', 'gg']","[44937, 1129]"
damao_yu,sym_oto,"['sym', 'oto']","[3645, 23946]"
scottie_(phantom2),emi_wul,"['emi', 'wul']","[44327, 35154]"
tsubasa_tsubasa,mbo_nys,"['mbo', 'nys']","[25733, 36375]"
grandia_lee,ime_lol,"['ime', 'lol']","[44937, 10721]"
misumi_(macaroni),ith_buu,"['ith', 'buu']","[6133, 42313]"
mignon,eg_lem,"['eg', 'lem']","[8053, 10213]"
ru_zhai,wie_bbq,"['wie', 'bbq']","[21378, 41270]"
shanyao_jiang_tororo,hg_abc,"['hg', 'abc']","[23986, 13137]"
okuma_mai,ris_cy,"['ris', 'cy']","[6108, 1470]"
duan_zhu,utr_etu,"['utr', 'etu']","[48726, 36593]"
banned_artist rurudo,ek_kcr,"['ek', 'kcr']","[4212, 46181]"
sonyaneko,jc_mca,"['jc', 'mca']","[14991, 40570]"
cogecha,boc_cr,"['boc', 'cr']","[27307, 1075]"
blazpu,cul_igu,"['cul', 'igu']","[1877, 21279]"
rella,hf_yun,"['hf', 'yun']","[26606, 14976]"
mika_pikazo,jee_ef,"['jee', 'ef']","[29250, 1490]"
anmi,jl_tm,"['jl', 'tm']","[25027, 9430]"
fallen-leaves,laz_idi,"['laz', 'idi']","[18806, 9611]"
3mptydays,pgh_klo,"['pgh', 'klo']","[44862, 15296]"
siragagaga,kak_mdc,"['kak', 'mdc']","[10401, 38773]"
neonbeat,aq_agh,"['aq', 'agh']","[14018, 17917]"
mushi024,meh_bec,"['meh', 'bec']","[10512, 6899]"
qtonagi,jv_tir,"['jv', 'tir']","[37932, 25467]"
banned_artist postal_mark_(tsu_qq),pj_ler,"['pj', 'ler']","[12524, 5587]"
sigm@,jak_byo,"['jak', 'byo']","[9225, 28039]"
cloba,heb_mt,"['heb', 'mt']","[24700, 4252]"
kouyafu,alz_uy,"['alz', 'uy']","[12936, 31929]"
akakura,syd_uc,"['syd', 'uc']","[4525, 4903]"
kerok_(joniko1110),lou_ito,"['lou', 'ito']","[2207, 22167]"
pumpkinspicelatte,moe_tom,"['moe', 'tom']","[38655, 999]"
kedama_milk,jic_kun,"['jic', 'kun']","[48350, 6849]"
konya_karasue,puc_ec,"['puc', 'ec']","[48779, 747]"
envyvanity,hn_hra,"['hn', 'hra']","[22905, 21320]"
hxxg,ib_idi,"['ib', 'idi']","[3962, 9611]"
dsmile,ood_uli,"['ood', 'uli']","[16429, 41841]"
superpig,yof_oku,"['yof', 'oku']","[5966, 45010]"
7tkei,csi_deo,"['csi', 'deo']","[41750, 26406]"
bumcha,hra_sq,"['hra', 'sq']","[21320, 9370]"
jima,evi_ymc,"['evi', 'ymc']","[5348, 47101]"
cirilla_lin,pl_dic,"['pl', 'dic']","[712, 1404]"
uzu_(uzu_xon),ny_wsu,"['ny', 'wsu']","[1383, 44674]"
